,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,,,
"Countries, territories and areas",2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,,,
Afghanistan,110[41-190],170[65-300],292[110-500],378[150-660],351[120-620],174[63-320],152[53-280],129[41-260],92[30-190],192[56-380],165[48-320],139[43-290],198[61-410],236[72-500],222[64-470],259[86-520],350[120-670],798[210-1540],1133[230-2210],965[210-2020],965[210-2030],,,
Albania,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Algeria,No malaria,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,,,
Andorra,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Angola,15989[9990-28800],13622[9440-20500],13489[9390-20000],13941[9680-20600],13430[9440-19500],12551[9090-17800],12036[8890-16600],11586[8740-15600],11461[8860-15000],11832[9310-15200],12398[9960-15500],13342[10900-16400],15280[12700-18500],18237[15400-21700],20525[17600-24000],21709[18900-25000],22169[19500-25300],22694[20100-25700],22952[20500-26000],24478[21900-27600],23661[21200-26500],,,
Antigua and Barbuda,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Argentina,No malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Armenia,No malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Australia,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Austria,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,No malariaNo malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
